Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C394       SMD_0603_CAPC1608X80N         -29mm        -2.5mm         -29mm        -2.5mm         -29mm        -1.7mm  T        270.00 470nF          
C393       SMD_0603_CAPC1608X80N      -26.75mm       -37.5mm      -26.75mm       -37.5mm      -26.75mm       -38.3mm  T         90.00 470nF          
C392       SMD_0603_CAPC1608X80N      -25.25mm       -37.5mm      -25.25mm       -37.5mm      -25.25mm       -38.3mm  T         90.00 470nF          
C391       SMD_0603_CAPC1608X80N      -23.75mm       -37.5mm      -23.75mm       -37.5mm      -23.75mm       -38.3mm  T         90.00 470nF          
C390       SMD_0603_CAPC1608X80N      -22.25mm       -37.5mm      -22.25mm       -37.5mm      -22.25mm       -38.3mm  T         90.00 470nF          
C389       SMD_0603_CAPC1608X80N        24.5mm       -37.5mm        24.5mm       -37.5mm        24.5mm       -38.3mm  T         90.00 470nF          
C388       SMD_0603_CAPC1608X80N      -28.25mm       -37.5mm      -28.25mm       -37.5mm      -28.25mm       -38.3mm  T         90.00 470nF          
C387       SMD_1210_CAPC3225X279N          17mm       -1.75mm          17mm       -1.75mm        15.5mm       -1.75mm  T        360.00 (OPT)220uF     
C386       SMD_1210_CAPC3225X279N       -18.5mm        51.5mm       -18.5mm        51.5mm         -20mm        51.5mm  T        360.00 (OPT)220uF     
C385       SMD_1210_CAPC3225X279N    -33.5999mm     57.5001mm    -33.5999mm     57.5001mm    -32.0999mm     57.5001mm  T        180.00 (OPT)220uF     
C384       SMD_1210_CAPC3225X279N    -35.1624mm      61.125mm    -35.1624mm      61.125mm    -33.6624mm      61.125mm  T        180.00 (OPT)220uF     
C383       SMD_1210_CAPC3225X279N          23mm       -1.75mm          23mm       -1.75mm        24.5mm       -1.75mm  T        180.00 (OPT)220uF     
C382       SMD_1210_CAPC3225X279N       -18.5mm        47.5mm       -18.5mm        47.5mm         -20mm        47.5mm  T        360.00 (OPT)220uF     
C381       SMD_1210_CAPC3225X279N       -18.5mm      57.495mm       -18.5mm      57.495mm         -20mm      57.495mm  T        360.00 (OPT)220uF     
C380       SMD_1210_CAPC3225X279N       -25.5mm        57.5mm       -25.5mm        57.5mm         -27mm        57.5mm  T        360.00 (OPT)220uF     
C379       SMD_1210_CAPC3225X279N      -41.25mm        31.5mm      -41.25mm        31.5mm      -39.75mm        31.5mm  T        180.00 (OPT)220uF     
C378       SMD_1210_CAPC3225X279N         -23mm        1.75mm         -23mm        1.75mm       -24.5mm        1.75mm  T        360.00 (OPT)220uF     
C377       SMD_1210_CAPC3225X279N         -17mm       -1.75mm         -17mm       -1.75mm       -15.5mm       -1.75mm  T        180.00 (OPT)220uF     
C376       SMD_1210_CAPC3225X279N         -17mm        1.75mm         -17mm        1.75mm       -15.5mm        1.75mm  T        180.00 (OPT)220uF     
C375       SMD_1210_CAPC3225X279N          23mm        1.75mm          23mm        1.75mm        24.5mm        1.75mm  T        180.00 (OPT)220uF     
C374       SMD_1210_CAPC3225X279N    -22.9999mm       -1.75mm    -22.9999mm       -1.75mm    -24.4999mm       -1.75mm  T        360.00 (OPT)220uF     
C373       SMD_1210_CAPC3225X279N         3.5mm          47mm         3.5mm          47mm           2mm          47mm  T        360.00 (OPT)220uF     
C372       SMD_1210_CAPC3225X279N         2.5mm          53mm         2.5mm          53mm           1mm          53mm  T        360.00 (OPT)220uF     
C371       SMD_1210_CAPC3225X279N          17mm        1.75mm          17mm        1.75mm        15.5mm        1.75mm  T        360.00 (OPT)220uF     
C370       SMD_1210_CAPC3225X279N         2.5mm          57mm         2.5mm          57mm           1mm          57mm  T        360.00 (OPT)220uF     
C369       SMD_1210_CAPC3225X279N         3.5mm          43mm         3.5mm          43mm           2mm          43mm  T        360.00 (OPT)220uF     
C368       SMD_1210_CAPC3225X279N      -30.75mm       62.05mm      -30.75mm       62.05mm      -30.75mm       60.55mm  T         90.00 (OPT)220uF     
C367       SMD_1210_CAPC3225X279N       -1.85mm        37.5mm       -1.85mm        37.5mm       -0.35mm        37.5mm  T        180.00 (OPT)220uF     
C366       SMD_1210_CAPC3225X279N       2.925mm       37.55mm       2.925mm       37.55mm       1.425mm       37.55mm  T        360.00 (OPT)220uF     
C365       SMD_1210_CAPC3225X279N        11.9mm          43mm        11.9mm          43mm        10.4mm          43mm  T        360.00 (OPT)220uF     
C364       SMD_1210_CAPC3225X279N          11mm          52mm          11mm          52mm         9.5mm          52mm  T        360.00 (OPT)220uF     
C363       SMD_1210_CAPC3225X279N        11.9mm          47mm        11.9mm          47mm        10.4mm          47mm  T        360.00 (OPT)220uF     
C362       SMD_1210_CAPC3225X279N      -21.25mm        43.7mm      -21.25mm        43.7mm      -22.75mm        43.7mm  T        360.00 (OPT)220uF     
C361       SMD_1210_CAPC3225X279N      -26.75mm     62.0949mm      -26.75mm     62.0949mm      -26.75mm     60.5949mm  T         90.00 (OPT)220uF     
C360       SMD_1210_CAPC3225X279N        -5.5mm       57.25mm        -5.5mm       57.25mm          -4mm       57.25mm  T        180.00 (OPT)220uF     
C359       SMD_1210_CAPC3225X279N        -5.5mm       61.25mm        -5.5mm       61.25mm          -4mm       61.25mm  T        180.00 (OPT)220uF     
C358       SMD_1210_CAPC3225X279N       -1.25mm       62.25mm       -1.25mm       62.25mm       -1.25mm       60.75mm  T         90.00 (OPT)220uF     
R64        SMD_0603_RESC1608X55N          19mm        84.3mm          19mm        84.3mm          19mm        83.5mm  T         90.00 0              
R63        SMD_0603_RESC1608X55N         9.9mm          80mm         9.9mm          80mm         9.9mm        79.2mm  T         90.00 0              
R62        SMD_0603_RESC1608X55N       36.95mm          54mm       36.95mm          54mm       36.15mm          54mm  T        360.00 (OPT)0         
R56        SMD_0603_RESC1608X55N        33.7mm        60.5mm        33.7mm        60.5mm        32.9mm        60.5mm  T        360.00 0              
R61        SMD_0603_RESC1608X55N       19.75mm       53.75mm       19.75mm       53.75mm       20.55mm       53.75mm  T        180.00 2.4k           
R57        SMD_0603_RESC1608X55N        17.5mm        54.5mm        17.5mm        54.5mm        17.5mm        55.3mm  T        270.00 10k            
C325       SMD_0603_CAPC1608X80N          20mm       55.25mm          20mm       55.25mm        19.2mm       55.25mm  T        360.00 1nF            
R42        SMD_0603_RESC1608X55N     -32.025mm          70mm     -32.025mm          70mm     -31.225mm          70mm  T        180.00 (OPT)0         
C323       SMD_0805_CAPC2012X145N       -34.5mm        56.5mm       -34.5mm        56.5mm       -33.6mm        56.5mm  T        180.00 22uF/6.3V      
C319       SMD_0805_CAPC2012X145N          11mm          51mm          11mm          51mm        10.1mm          51mm  T          0.00 22uF/6.3V      
C259       SMD_0805_CAPC2012X145N       2.925mm       36.55mm       2.925mm       36.55mm       2.025mm       36.55mm  T        360.00 22uF/6.3V      
C260       SMD_0805_CAPC2012X145N         -21mm        60.5mm         -21mm        60.5mm       -20.1mm        60.5mm  T        180.00 22uF/6.3V      
C261       SMD_0805_CAPC2012X145N         -21mm        58.5mm         -21mm        58.5mm       -20.1mm        58.5mm  T        180.00 22uF/6.3V      
C321       SMD_0805_CAPC2012X145N       -1.85mm        36.5mm       -1.85mm        36.5mm       -0.95mm        36.5mm  T        180.00 22uF/6.3V      
C316       SMD_0805_CAPC2012X145N      -21.35mm        44.7mm      -21.35mm        44.7mm      -22.25mm        44.7mm  T        360.00 22uF/6.3V      
C322       SMD_0805_CAPC2012X145N        14.5mm          47mm        14.5mm          47mm        15.4mm          47mm  T        180.00 22uF/6.3V      
C314       SMD_0805_CAPC2012X145N       -27.6mm       40.25mm       -27.6mm       40.25mm       -27.6mm       41.15mm  T        270.00 22uF/6.3V      
C315       SMD_0805_CAPC2012X145N      -20.25mm       53.75mm      -20.25mm       53.75mm      -20.25mm       52.85mm  T         90.00 22uF/6.3V      
C258       SMD_0805_CAPC2012X145N       -17.5mm        44.5mm       -17.5mm        44.5mm       -18.4mm        44.5mm  T        360.00 22uF/6.3V      
C324       SMD_0805_CAPC2012X145N         2.5mm          58mm         2.5mm          58mm         1.6mm          58mm  T        360.00 22uF/6.3V      
C262       SMD_0805_CAPC2012X145N     -23.775mm     61.2501mm     -23.775mm     61.2501mm     -23.775mm     60.3501mm  T         90.00 22uF/6.3V      
C318       SMD_0805_CAPC2012X145N        14.5mm          51mm        14.5mm          51mm        15.4mm          51mm  T        180.00 22uF/6.3V      
C317       SMD_0805_CAPC2012X145N          11mm          53mm          11mm          53mm        10.1mm          53mm  T          0.00 22uF/6.3V      
C320       SMD_0805_CAPC2012X145N        14.5mm          53mm        14.5mm          53mm        15.4mm          53mm  T        180.00 22uF/6.3V      
C257       PTH_CAPPR500-1300X2250           0mm         -37mm           0mm         -37mm           0mm       -34.5mm  T        270.00 (OPT)ÒÌ0J332M-RBJ21
C256       PTH_CAPPR500-1300X2250           0mm         -23mm           0mm         -23mm           0mm       -25.5mm  T         90.00 (OPT)ÒÌ0J332M-RBJ21
C239       PTH_CAPPR500-1300X2250          20mm        -3.5mm          20mm        -3.5mm          20mm          -6mm  T         90.00 (OPT)ÒÌ0J332M-RBJ21
C238       PTH_CAPPR500-1300X2250         -20mm        -3.5mm         -20mm        -3.5mm         -20mm          -6mm  T         90.00 (OPT)ÒÌ0J332M-RBJ21
